Table: Statistics
,,Women_Business_and_the_Law_Entrepreneurship_Indicator_Score,Borrowed_to_start_operate_or_expand_a_farm_or_business_age,Cost_of_business_start_up_procedures_of_GNI_per_capita_201,Saved_to_Start_Operate_or_Expand_a_Farm_or_Business_age_15,Start_up_procedures_to_register_a_business_number_2017,Time_required_to_start_a_business_days_2017
N,Valid,189,145,189,145,189,189
,Missing,3,47,3,47,3,3
Mean,,82.94,5.82,26.58,11.68,7.21,21.62
Std Dev,,16.61,4.78,46.89,6.74,3.09,26.24
Minimum,,0,.05,.00,.30,1.00,.50
Maximum,,100,20.73,352.20,33.94,20.00,230.00

Table: Women_Business_and_the_Law_Entrepreneurship_Indicator_Score
,,Frequency,Percent,Valid Percent,Cumulative Percent
,5.05,1,.5%,.7%,15.2%
,5.32,1,.5%,.7%,15.9%
,5.36,1,.5%,.7%,16.6%
,5.40,1,.5%,.7%,17.2%
,5.41,1,.5%,.7%,17.9%
,5.46,1,.5%,.7%,18.6%
,5.57,1,.5%,.7%,19.3%
,5.74,1,.5%,.7%,20.0%
,5.94,1,.5%,.7%,20.7%
,6.00,1,.5%,.7%,21.4%
,6.15,1,.5%,.7%,22.1%
,6.23,1,.5%,.7%,22.8%
,6.29,1,.5%,.7%,23.4%
,6.34,1,.5%,.7%,24.1%
,6.48,1,.5%,.7%,24.8%
,6.50,1,.5%,.7%,25.5%
,6.57,1,.5%,.7%,26.2%
,6.68,1,.5%,.7%,26.9%
,6.80,1,.5%,.7%,27.6%
,6.87,1,.5%,.7%,28.3%
,6.92,2,1.0%,1.4%,29.7%
,6.93,1,.5%,.7%,30.3%
,6.95,1,.5%,.7%,31.0%
,7.06,1,.5%,.7%,31.7%
,7.13,1,.5%,.7%,32.4%
,7.33,1,.5%,.7%,33.1%
,7.35,1,.5%,.7%,33.8%
,7.47,1,.5%,.7%,34.5%
,7.56,1,.5%,.7%,35.2%
,7.62,2,1.0%,1.4%,36.6%
,8.13,1,.5%,.7%,37.2%
,8.21,1,.5%,.7%,37.9%
,8.38,1,.5%,.7%,38.6%
,8.41,1,.5%,.7%,39.3%
,8.54,1,.5%,.7%,40.0%
,8.72,1,.5%,.7%,40.7%
,8.76,1,.5%,.7%,41.4%
,8.93,1,.5%,.7%,42.1%
,9.01,1,.5%,.7%,42.8%
,9.41,1,.5%,.7%,43.4%
,9.55,1,.5%,.7%,44.1%
,9.61,1,.5%,.7%,44.8%
,9.66,1,.5%,.7%,45.5%
,9.79,1,.5%,.7%,46.2%
,9.86,1,.5%,.7%,46.9%
,9.88,1,.5%,.7%,47.6%
,10.02,1,.5%,.7%,48.3%
,10.16,1,.5%,.7%,49.0%
,10.60,1,.5%,.7%,49.7%
,10.65,1,.5%,.7%,50.3%
,10.75,1,.5%,.7%,51.0%
,10.77,1,.5%,.7%,51.7%
,10.89,1,.5%,.7%,52.4%
,11.06,1,.5%,.7%,53.1%
,11.36,1,.5%,.7%,53.8%
,11.38,1,.5%,.7%,54.5%
,11.39,1,.5%,.7%,55.2%
,11.51,1,.5%,.7%,55.9%
,11.58,1,.5%,.7%,56.6%
,12.05,1,.5%,.7%,57.2%
,12.50,1,.5%,.7%,57.9%
,12.57,1,.5%,.7%,58.6%
,12.67,1,.5%,.7%,59.3%
,12.76,1,.5%,.7%,60.0%
,12.79,1,.5%,.7%,60.7%
,12.85,1,.5%,.7%,61.4%
,13.05,1,.5%,.7%,62.1%
,13.23,1,.5%,.7%,62.8%
,13.33,1,.5%,.7%,63.4%
,13.37,1,.5%,.7%,64.1%
,13.47,1,.5%,.7%,64.8%
,13.69,1,.5%,.7%,65.5%
,13.76,1,.5%,.7%,66.2%
,14.00,1,.5%,.7%,66.9%
,14.08,1,.5%,.7%,67.6%
,14.11,1,.5%,.7%,68.3%
,14.22,1,.5%,.7%,69.0%
,14.72,1,.5%,.7%,69.7%
,14.84,1,.5%,.7%,70.3%
,14.98,1,.5%,.7%,71.0%
,15.00,1,.5%,.7%,71.7%
,15.28,1,.5%,.7%,72.4%
,15.36,1,.5%,.7%,73.1%
,15.46,1,.5%,.7%,73.8%
,15.85,1,.5%,.7%,74.5%
,15.91,1,.5%,.7%,75.2%
,16.03,1,.5%,.7%,75.9%
,16.30,1,.5%,.7%,76.6%
,16.50,1,.5%,.7%,77.2%
,16.51,1,.5%,.7%,77.9%
,16.64,1,.5%,.7%,78.6%
,16.72,1,.5%,.7%,79.3%
,16.80,1,.5%,.7%,80.0%
,16.88,1,.5%,.7%,80.7%
,17.05,1,.5%,.7%,81.4%
,17.31,1,.5%,.7%,82.1%
,18.06,1,.5%,.7%,82.8%
,18.14,1,.5%,.7%,83.4%
,18.26,1,.5%,.7%,84.1%
,18.32,1,.5%,.7%,84.8%
,18.56,1,.5%,.7%,85.5%
,18.65,1,.5%,.7%,86.2%
,18.70,1,.5%,.7%,86.9%
,18.80,1,.5%,.7%,87.6%
,19.39,1,.5%,.7%,88.3%
,19.47,1,.5%,.7%,89.0%
,19.50,1,.5%,.7%,89.7%
,20.80,1,.5%,.7%,90.3%
,21.05,1,.5%,.7%,91.0%
,21.84,1,.5%,.7%,91.7%
,21.86,1,.5%,.7%,92.4%
,21.88,1,.5%,.7%,93.1%
,22.79,1,.5%,.7%,93.8%
,22.87,1,.5%,.7%,94.5%
,23.87,1,.5%,.7%,95.2%
,24.67,1,.5%,.7%,95.9%
,25.21,1,.5%,.7%,96.6%
,27.15,1,.5%,.7%,97.2%
,28.18,1,.5%,.7%,97.9%
,31.42,1,.5%,.7%,98.6%
,32.57,1,.5%,.7%,99.3%
,33.94,1,.5%,.7%,100.0%
Missing,.  ,47,24.5%,,
Total,,192,100.0%,,

Table: Start_up_procedures_to_register_a_business_number_2017
,,Frequency,Percent,Valid Percent,Cumulative Percent
Valid,1.00,1,.5%,.5%,.5%
,2.00,5,2.6%,2.6%,3.2%
,3.00,12,6.3%,6.3%,9.5%
,4.00,19,9.9%,10.1%,19.6%
,5.00,27,14.1%,14.3%,33.9%
,6.00,16,8.3%,8.5%,42.3%
,7.00,28,14.6%,14.8%,57.1%
,7.83,1,.5%,.5%,57.7%
,8.00,22,11.5%,11.6%,69.3%
,8.46,1,.5%,.5%,69.8%
,9.00,19,9.9%,10.1%,79.9%
,10.00,10,5.2%,5.3%,85.2%
,11.00,10,5.2%,5.3%,90.5%
,12.00,8,4.2%,4.2%,94.7%
,12.22,1,.5%,.5%,95.2%
,12.47,1,.5%,.5%,95.8%
,13.00,4,2.1%,2.1%,97.9%
,14.00,1,.5%,.5%,98.4%
,16.00,1,.5%,.5%,98.9%
,17.00,1,.5%,.5%,99.5%
,20.00,1,.5%,.5%,100.0%
Missing,.  ,3,1.6%,,
Total,,192,100.0%,,

Table: Time_required_to_start_a_business_days_2017
,,Frequency,Percent,Valid Percent,Cumulative Percent
Valid,.50,1,.5%,.5%,.5%
,1.50,2,1.0%,1.1%,1.6%
,2.00,1,.5%,.5%,2.1%
,2.50,2,1.0%,1.1%,3.2%
,3.00,1,.5%,.5%,3.7%
,3.50,5,2.6%,2.6%,6.3%
,4.00,3,1.6%,1.6%,7.9%
,4.50,2,1.0%,1.1%,9.0%
,5.00,5,2.6%,2.6%,11.6%
,5.50,5,2.6%,2.6%,14.3%
,5.60,1,.5%,.5%,14.8%
,6.00,9,4.7%,4.8%,19.6%
,6.50,3,1.6%,1.6%,21.2%
,7.00,4,2.1%,2.1%,23.3%
,7.50,1,.5%,.5%,23.8%
,8.00,6,3.1%,3.2%,27.0%
,8.42,1,.5%,.5%,27.5%
,8.50,1,.5%,.5%,28.0%
,9.00,11,5.7%,5.8%,33.9%
,10.00,5,2.6%,2.6%,36.5%
,10.10,1,.5%,.5%,37.0%
,10.50,2,1.0%,1.1%,38.1%
,11.00,6,3.1%,3.2%,41.3%
,11.15,1,.5%,.5%,41.8%
,11.50,1,.5%,.5%,42.3%
,12.00,6,3.1%,3.2%,45.5%
,12.50,2,1.0%,1.1%,46.6%
,13.00,7,3.6%,3.7%,50.3%
,14.00,4,2.1%,2.1%,52.4%
,15.00,4,2.1%,2.1%,54.5%
,16.00,6,3.1%,3.2%,57.7%
,16.50,3,1.6%,1.6%,59.3%
,17.00,5,2.6%,2.6%,61.9%
,18.00,4,2.1%,2.1%,64.0%
,18.50,2,1.0%,1.1%,65.1%
,18.92,1,.5%,.5%,65.6%
,19.00,1,.5%,.5%,66.1%
,19.50,2,1.0%,1.1%,67.2%
,21.00,1,.5%,.5%,67.7%
,21.50,1,.5%,.5%,68.3%
,22.00,3,1.6%,1.6%,69.8%
,22.50,2,1.0%,1.1%,70.9%
,23.00,2,1.0%,1.1%,72.0%
,24.00,2,1.0%,1.1%,73.0%
,24.50,2,1.0%,1.1%,74.1%
,24.54,1,.5%,.5%,74.6%
,24.90,1,.5%,.5%,75.1%
