Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Time required to start a business, female (days)",IC.REG.DURS.FE,Czechia,CZE,2017,24.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Denmark,DNK,2017,3.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Djibouti,DJI,2017,14,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Dominica,DMA,2017,12,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Dominican Republic,DOM,2017,16.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Ecuador,ECU,2017,48.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,"Egypt, Arab Rep.",EGY,2017,17,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,El Salvador,SLV,2017,16.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Equatorial Guinea,GNQ,2017,33,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Eritrea,ERI,2017,84,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Estonia,EST,2017,3.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Eswatini,SWZ,2017,30,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Ethiopia,ETH,2017,33,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Fiji,FJI,2017,40,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Finland,FIN,2017,17,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,France,FRA,2017,3.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Gabon,GAB,2017,33,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,"Gambia, The",GMB,2017,25,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Georgia,GEO,2017,2,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Germany,DEU,2017,8,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Ghana,GHA,2017,14,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Greece,GRC,2017,12.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Grenada,GRD,2017,15,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Guatemala,GTM,2017,26.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Guinea,GIN,2017,15,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Guinea-Bissau,GNB,2017,9,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Guyana,GUY,2017,18,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Haiti,HTI,2017,97,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Honduras,HND,2017,42,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,"Hong Kong SAR, China",HKG,2017,1.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Hungary,HUN,2017,7,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Iceland,ISL,2017,11.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,India,IND,2017,29.765,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Indonesia,IDN,2017,24.54,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,"Iran, Islamic Rep.",IRN,2017,73,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Iraq,IRQ,2017,27,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Ireland,IRL,2017,11,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Israel,ISR,2017,11,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Italy,ITA,2017,11,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Jamaica,JAM,2017,3,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Japan,JPN,2017,11.15,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Jordan,JOR,2017,13,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Kazakhstan,KAZ,2017,9,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Kenya,KEN,2017,23,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Kiribati,KIR,2017,31,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,"Korea, Rep.",KOR,2017,8,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Kosovo,XKX,2017,5.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Kuwait,KWT,2017,39,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Kyrgyz Republic,KGZ,2017,10,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Lao PDR,LAO,2017,174,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Latvia,LVA,2017,5.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Lebanon,LBN,2017,15,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Lesotho,LSO,2017,29,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Liberia,LBR,2017,6,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Libya,LBY,2017,35,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Lithuania,LTU,2017,5.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Luxembourg,LUX,2017,16.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Madagascar,MDG,2017,8,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Malawi,MWI,2017,37,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Malaysia,MYS,2017,24,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Maldives,MDV,2017,12,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Mali,MLI,2017,11,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Malta,MLT,2017,16,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Marshall Islands,MHL,2017,17,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Mauritania,MRT,2017,6,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Mauritius,MUS,2017,6,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Mexico,MEX,2017,8.415,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,"Micronesia, Fed. Sts.",FSM,2017,16,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Moldova,MDA,2017,5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Mongolia,MNG,2017,12,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Montenegro,MNE,2017,12,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Morocco,MAR,2017,9,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Mozambique,MOZ,2017,17,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Myanmar,MMR,2017,14,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Namibia,NAM,2017,54,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Nepal,NPL,2017,18.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Netherlands,NLD,2017,3.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,New Zealand,NZL,2017,0.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Nicaragua,NIC,2017,14,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Niger,NER,2017,8,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Nigeria,NGA,2017,18.92,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,North Macedonia,MKD,2017,15,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Norway,NOR,2017,4,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Oman,OMN,2017,5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Pakistan,PAK,2017,19.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Palau,PLW,2017,28,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Panama,PAN,2017,6,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Papua New Guinea,PNG,2017,41,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Paraguay,PRY,2017,35,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Peru,PER,2017,41,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Philippines,PHL,2017,39,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Poland,POL,2017,37,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Portugal,PRT,2017,6.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Puerto Rico,PRI,2017,5.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Qatar,QAT,2017,10.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Romania,ROU,2017,12,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Russian Federation,RUS,2017,10.1,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Rwanda,RWA,2017,4,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Samoa,WSM,2017,9,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,San Marino,SMR,2017,12.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Sao Tome and Principe,STP,2017,7,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Saudi Arabia,SAU,2017,19,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Senegal,SEN,2017,6,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Serbia,SRB,2017,5.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Seychelles,SYC,2017,32,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Sierra Leone,SLE,2017,8,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Singapore,SGP,2017,2.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Slovak Republic,SVK,2017,26.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Slovenia,SVN,2017,6,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Solomon Islands,SLB,2017,9,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Somalia,SOM,2017,70,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,South Africa,ZAF,2017,45,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,South Sudan,SSD,2017,13,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Spain,ESP,2017,13,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Sri Lanka,LKA,2017,9,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,St. Kitts and Nevis,KNA,2017,18.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,St. Lucia,LCA,2017,11,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,St. Vincent and the Grenadines,VCT,2017,10,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Sudan,SDN,2017,37,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Suriname,SUR,2017,66,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Sweden,SWE,2017,7,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Switzerland,CHE,2017,10,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Syrian Arab Republic,SYR,2017,16,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Tajikistan,TJK,2017,10,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Tanzania,TZA,2017,29,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Thailand,THA,2017,6,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Timor-Leste,TLS,2017,13,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Togo,TGO,2017,6,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Tonga,TON,2017,16,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Trinidad and Tobago,TTO,2017,10.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Tunisia,TUN,2017,13,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Turkiye,TUR,2017,10,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Uganda,UGA,2017,24,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Ukraine,UKR,2017,6.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,United Arab Emirates,ARE,2017,9,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,United Kingdom,GBR,2017,4.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,United States,USA,2017,5.6,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Uruguay,URY,2017,6.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Uzbekistan,UZB,2017,5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Vanuatu,VUT,2017,18,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,"Venezuela, RB",VEN,2017,230,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Viet Nam,VNM,2017,22,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,West Bank and Gaza,PSE,2017,44,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,"Yemen, Rep.",YEM,2017,41,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Zambia,ZMB,2017,8.5,female
"Time required to start a business, female (days)",IC.REG.DURS.FE,Zimbabwe,ZWE,2017,61,female
